GENDER,CATEGORY,SKU,NAME,COLOR NAME,SKU,NAME,COLOR NAME,SKU,NAME,COLOR NAME,SKU,NAME,COLOR NAME,HEIGHT INCH,HEIGHT CM,WAIST IN,WAIST CM,INSEAM INCH,INSEAM CM,SIZE
MEN,T&F,2091A434_403,TRACK ELITE SSﾄﾂﾌﾟ,ﾓﾅｺﾌﾞﾙｰ,2091A448_003,ｳｵｰﾑ ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ/SB,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A516_402,ﾌﾟﾘﾝﾄ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,ｱｼﾂｸｽﾌﾞﾙｰ,2091A448_003,ｳｵｰﾑ ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ/SB,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A450_400,ﾌﾟﾘﾝﾄ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,ﾋﾟｰｺｰﾄ,2091A448_003,ｳｵｰﾑ ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ/SB,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A447_001,ｶｽﾀﾑ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ,2091A448_003,ｳｵｰﾑ ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ/SB,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A447_750,ｶｽﾀﾑ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,ｸﾞﾛｰｲｴﾛｰ,2091A448_400,ｳｵｰﾑ ﾛﾝｸﾞﾀｲﾂ,ﾋﾟｰｺｰﾄ/GY,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A448_400,ｳｵｰﾑ ﾛﾝｸﾞﾀｲﾂ,ﾋﾟｰｺｰﾄ/GY,2091A447_750,ｶｽﾀﾑ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,ｸﾞﾛｰｲｴﾛｰ,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A449_750,ﾌﾟﾘﾝﾄ ｼﾖｰﾄｽﾘｰﾌﾞﾄﾂﾌﾟ,ﾌﾗﾂｼﾕｲｴﾛｰ,2091A451_001,ﾌﾟﾘﾝﾄ ﾐﾄﾞﾙﾀｲﾂ,Pﾌﾞﾗﾂｸ/BWH,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A449_001,ﾌﾟﾘﾝﾄ ｼﾖｰﾄｽﾘｰﾌﾞﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ/FGR,2091A451_001,ﾌﾟﾘﾝﾄ ﾐﾄﾞﾙﾀｲﾂ,Pﾌﾞﾗﾂｸ/BWH,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A449_003,ﾌﾟﾘﾝﾄ ｼﾖｰﾄｽﾘｰﾌﾞﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ/BWH,2091A451_001,ﾌﾟﾘﾝﾄ ﾐﾄﾞﾙﾀｲﾂ,Pﾌﾞﾗﾂｸ/BWH,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A451_001,ﾌﾟﾘﾝﾄ ﾐﾄﾞﾙﾀｲﾂ,Pﾌﾞﾗﾂｸ/BWH,2091A449_003,ﾌﾟﾘﾝﾄ ｼﾖｰﾄｽﾘｰﾌﾞﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ/BWH,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
