PRODUCT_ID,PRODUCT_GENDER,PRODUCT_WIDTH,PRODUCT_ID_NARROW,PRODUCT_ID_STANDARD,PRODUCT_ID_WIDE,PRODUCT_ID_EXTRAWIDE
ANA_1011B005-001,Male,Extra Wide,,ANA_1011B004-029,ANA_1011B006-020,ANA_1011B005-001
ANA_1012A911-406,Female,Standard,,ANA_1012A911-406,ANA_1012A910-406,
ANA_1011B189-402,Male,Standard,,ANA_1011B189-402,ANA_1011B188-402,ANA_1011B191-005
ANA_1012A151-702,Female,Standard,,ANA_1012A151-702,ANA_1012A188-003,
ANA_1012A570-001,Female,Standard,,ANA_1012A570-001,ANA_1012A571-400,
ANA_1011B001-101,Male,Standard,,ANA_1011B001-101,,ANA_1011A999-027
ANA_1011B004-020,Male,Standard,,ANA_1011B004-020,ANA_1011B006-020,ANA_1011B005-020
ANA_1011B189-004,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1011A767-400,Male,Standard,,ANA_1011A767-001,ANA_1011A835-001,ANA_1011A833-001
ANA_1011B004-404,Male,Standard,,ANA_1011B004-029,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B004-400,Male,Standard,,ANA_1011B004-029,ANA_1011B006-020,ANA_1011B005-001
ANA_1012A570-023,Female,Standard,,ANA_1012A570-001,ANA_1012A571-400,
ANA_1012A713-020,Female,Wide,,ANA_1012A649-020,ANA_1012A713-020,
ANA_1011B392-020,Male,Extra Wide,,ANA_1011B391-020,,ANA_1011B392-020
ANA_1012A151-021,Female,Standard,,ANA_1012A151-021,ANA_1012A188-003,
ANA_1011A833-001,Male,Extra Wide,,ANA_1011A767-001,ANA_1011A835-001,ANA_1011A833-001
ANA_1011B189-400,Male,Standard,,ANA_1011B189-400,ANA_1011B188-400,ANA_1011B191-005
ANA_1012A888-020,Female,Standard,,ANA_1012A888-020,ANA_1012A889-003,
ANA_1011B189-003,Male,Standard,,ANA_1011B189-003,ANA_1011B188-003,ANA_1011B191-003
ANA_1011B189-022,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1011A167-407,Male,Standard,,ANA_1011A167-407,,ANA_1011A206-003
ANA_1011A984-002,Male,Wide,,ANA_1011A983-002,ANA_1011A984-002,ANA_1011A987-002
ANA_1012A885-708,Female,Standard,,ANA_1012A885-708,ANA_1012A884-412,
ANA_1012A885-004,Female,Standard,,ANA_1012A885-004,ANA_1012A884-412,
ANA_1012A885-004,Female,Standard,,ANA_1012A885-412,ANA_1012A884-412,
ANA_1012B201-300,Female,Standard,,ANA_1012B201-300,ANA_1012B199-300,
ANA_1012A859-023,Female,Standard,ANA_1012A863-400,ANA_1012A859-023,ANA_1012A862-002,
ANA_1012A859-023,Female,Standard,ANA_1012A863-400,ANA_1012A859-023,ANA_1012A861-400,
ANA_1041A079-405,Male,Standard,,ANA_1041A079-405,ANA_1041A113-404,
ANA_1012B275-400,Female,Standard,ANA_1012B048-003,ANA_1012B275-400,ANA_1012B046-021,
ANA_1012B206-100,Female,Standard,ANA_1012B207-020,ANA_1012B206-100,ANA_1012B205-300,
ANA_1011B189-022,Male,Standard,,ANA_1011B189-022,ANA_1011B188-021,ANA_1011B191-005
ANA_1012A888-103,Female,Standard,,ANA_1012A888-103,ANA_1012A889-003,
ANA_1011B039-001,Male,Extra Wide,,ANA_1011B040-001,,ANA_1011B039-001
ANA_1011B006-020,Male,Wide,,ANA_1011B004-029,ANA_1011B006-020,ANA_1011B005-001
ANA_1012A916-002,Female,Standard,,ANA_1012A916-002,ANA_1012A915-002,
ANA_1012A591-701,Female,Standard,ANA_1012A594-002,ANA_1012A591-701,ANA_1012A592-002,
ANA_1011B189-401,Male,Standard,,ANA_1011B189-401,ANA_1011B188-021,ANA_1011B191-005
ANA_1012A885-708,Female,Standard,,ANA_1012A885-412,ANA_1012A884-412,
ANA_1011B366-003,Male,Standard,,ANA_1011B366-003,ANA_1011B365-020,ANA_1011B367-020
ANA_1012A878-006,Female,Standard,,ANA_1012A878-006,ANA_1012A879-006,
ANA_1012A859-002,Female,Standard,ANA_1012A863-400,ANA_1012A859-002,ANA_1012A861-002,
ANA_1012A859-002,Female,Standard,ANA_1012A863-400,ANA_1012A859-002,ANA_1012A862-002,
ANA_1011B359-401,Male,Standard,,ANA_1011B359-401,ANA_1011B361-001,ANA_1011B363-002
ANA_1012A915-002,Female,Wide,,ANA_1012A916-002,ANA_1012A915-002,
ANA_1012B201-003,Female,Standard,,ANA_1012B201-003,ANA_1012B199-400,
ANA_1012A885-412,Female,Standard,,ANA_1012A885-412,ANA_1012A884-412,
ANA_1011B001-006,Male,Standard,,ANA_1011B001-006,,ANA_1011A999-006
ANA_1011B189-005,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1012B032-100,Female,Standard,,ANA_1012A649-020,ANA_1012A713-020,
ANA_1012A570-002,Female,Standard,,ANA_1012A570-001,ANA_1012A571-400,
ANA_1011A770-401,Male,Standard,,ANA_1011A770-401,ANA_1011A813-023,ANA_1011A873-401
ANA_1011A983-401,Male,Standard,,ANA_1011A983-401,ANA_1011A984-002,ANA_1011A987-020
ANA_1012A888-417,Female,Standard,,ANA_1012A888-020,ANA_1012A889-003,
ANA_1012A888-417,Female,Standard,,ANA_1012A888-417,ANA_1012A889-003,
ANA_1012A885-100,Female,Standard,,ANA_1012A885-412,ANA_1012A884-412,
ANA_1012A741-400,Female,Standard,,ANA_1012A741-001,ANA_1012A738-020,
ANA_1011B040-408,Male,Standard,,ANA_1011B040-408,,ANA_1011B039-408
ANA_1012B201-002,Female,Standard,,ANA_1012B201-002,ANA_1012B199-002,
ANA_1012B245-100,Female,Standard,,ANA_1012A888-020,ANA_1012A889-003,
ANA_1012A888-100,Female,Standard,,ANA_1012A888-100,ANA_1012A889-003,
ANA_1011B359-002,Male,Standard,,ANA_1011B359-002,ANA_1011B361-001,ANA_1011B363-002
ANA_1011A560-001,Male,Standard,,ANA_1011A560-001,,ANA_1011A561-001
ANA_1011B185-001,Male,Standard,,ANA_1011B185-001,ANA_1011B186-001,ANA_1011B184-002
ANA_1012A695-020,Female,Wide,,ANA_1012A651-023,ANA_1012A695-020,
ANA_1011B004-407,Male,Standard,,ANA_1011B004-029,ANA_1011B006-020,ANA_1011B005-001
ANA_1042A072-101,Female,Standard,,ANA_1042A072-101,ANA_1042A097-406,
ANA_1012A884-412,Female,Wide,,ANA_1012A885-412,ANA_1012A884-412,
ANA_1011B004-400,Male,Standard,,ANA_1011B004-400,ANA_1011B006-020,ANA_1011B005-001
ANA_1012B201-100,Female,Standard,,ANA_1012B284-100,ANA_1012B199-400,
ANA_1011B191-005,Male,Extra Wide,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1011B189-300,Male,Standard,,ANA_1011B189-300,ANA_1011B188-021,ANA_1011B191-005
ANA_1011B191-021,Male,Extra Wide,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1012A151-003,Female,Standard,,ANA_1012A151-003,ANA_1012A188-003,
ANA_1012A562-001,Female,Standard,,ANA_1012A875-400,ANA_1012A561-022,
ANA_1012A562-001,Female,Standard,,ANA_1012A562-001,ANA_1012A561-022,
ANA_1012B206-100,Female,Standard,ANA_1012B207-020,ANA_1012B206-100,ANA_1012B205-300,
ANA_1011B188-021,Male,Wide,,ANA_1011B189-021,ANA_1011B188-021,ANA_1011B191-021
ANA_1012B199-400,Female,Wide,,ANA_1012B201-400,ANA_1012B199-400,
ANA_1011A667-020,Male,Standard,,ANA_1011A667-002,,ANA_1011A666-400
ANA_1011A862-023,Male,Standard,,ANA_1011A862-023,,ANA_1011A863-021
ANA_1011A983-020,Male,Standard,,ANA_1011A983-020,ANA_1011A984-020,ANA_1011A987-020
ANA_1012A915-403,Female,Wide,,ANA_1012A916-403,ANA_1012A915-403,
ANA_1012A888-100,Female,Standard,,ANA_1012A888-020,ANA_1012A889-003,
ANA_1012B046-021,Female,Wide,ANA_1012B048-003,ANA_1012B047-021,ANA_1012B046-021,
ANA_1011B189-002,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1011A767-100,Male,Standard,,ANA_1011A767-001,ANA_1011A835-001,ANA_1011A833-001
ANA_1011B188-402,Male,Wide,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1012B073-001,Female,Standard,ANA_1012A863-400,ANA_1012B073-001,ANA_1012A861-400,
ANA_1012B073-001,Female,Standard,ANA_1012A863-400,ANA_1012B073-001,ANA_1012A862-002,
ANA_1012A911-704,Female,Standard,,ANA_1012A911-704,ANA_1012A910-704,
ANA_1012A878-004,Female,Standard,,ANA_1012A878-004,ANA_1012A879-004,
ANA_1011A667-001,Male,Standard,,ANA_1011A667-002,,ANA_1011A666-400
ANA_1011B189-300,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1011B004-404,Male,Standard,,ANA_1011B004-404,ANA_1011B006-020,ANA_1011B005-001
ANA_1011A560-401,Male,Standard,,ANA_1011A560-401,,ANA_1011A561-401
ANA_1011B188-001,Male,Wide,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1011B188-021,Male,Wide,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1012A916-402,Female,Standard,,ANA_1012A916-402,ANA_1012A915-002,
ANA_1011B189-004,Male,Standard,,ANA_1011B189-004,ANA_1011B188-004,ANA_1011B191-005
ANA_1012A888-502,Female,Standard,,ANA_1012A888-502,ANA_1012A889-003,
ANA_1012A888-103,Female,Standard,,ANA_1012A888-020,ANA_1012A889-003,
ANA_1041A113-405,Male,Wide,,ANA_1041A079-405,ANA_1041A113-404,
ANA_1012A911-005,Female,Standard,,ANA_1012A911-005,ANA_1012A910-005,
ANA_1011B440-401,Male,Standard,,ANA_1011B440-401,ANA_1011B470-401,ANA_1011B471-401
ANA_1011A560-020,Male,Standard,,ANA_1011A560-020,,ANA_1011A561-001
ANA_1011B366-021,Male,Standard,,ANA_1011B366-021,ANA_1011B365-020,ANA_1011B367-020
ANA_1011A999-027,Male,Extra Wide,,ANA_1011B001-101,,ANA_1011A999-027
ANA_1012A884-001,Female,Wide,,ANA_1012A885-001,ANA_1012A884-001,
ANA_1041A079-300,Male,Standard,,ANA_1041A079-405,ANA_1041A113-404,
ANA_1011A770-020,Male,Standard,,ANA_1011A770-020,ANA_1011A813-023,ANA_1011A873-401
ANA_1011A167-001,Male,Standard,,ANA_1011A167-407,,ANA_1011A206-003
ANA_1011B191-001,Male,Extra Wide,,ANA_1011B189-001,ANA_1011B188-001,ANA_1011B191-001
ANA_1012B046-021,Female,Wide,ANA_1012B048-003,ANA_1012B047-021,ANA_1012B046-021,
ANA_1011B366-003,Male,Standard,,ANA_1011B366-003,ANA_1011B365-020,ANA_1011B367-020
ANA_1011B186-021,Male,Wide,,ANA_1011B185-021,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B012-002,Male,Standard,,ANA_1011B012-002,ANA_1011B014-003,ANA_1011B011-001
ANA_1042A097-406,Female,Wide,,ANA_1042A072-101,ANA_1042A097-406,
ANA_1012A476-001,Female,Standard,,ANA_1012A476-001,ANA_1012A477-001,
ANA_1071A054-009,Male,Standard,,ANA_1071A054-009,ANA_1071A081-404,
ANA_1012B045-700,Female,Standard,ANA_1012B042-020,ANA_1012B045-700,ANA_1012B043-402,
ANA_1012B045-700,Female,Standard,ANA_1012B042-020,ANA_1012B045-700,ANA_1012B044-002,
ANA_1012A884-402,Female,Wide,,ANA_1012A885-402,ANA_1012A884-402,
ANA_1012A859-001,Female,Standard,ANA_1012A863-400,ANA_1012A859-023,ANA_1012A862-002,
ANA_1012A859-001,Female,Standard,ANA_1012A863-400,ANA_1012A859-023,ANA_1012A861-400,
ANA_1012A476-020,Female,Standard,,ANA_1012A476-020,ANA_1012B041-021,
ANA_1041A079-404,Male,Standard,,ANA_1041A079-404,ANA_1041A113-404,
ANA_1012A476-020,Female,Standard,,ANA_1012A476-020,ANA_1012A477-001,
ANA_1011A987-020,Male,Extra Wide,,ANA_1011A983-020,ANA_1011A984-020,ANA_1011A987-020
ANA_1011B034-002,Male,Standard,,ANA_1011B034-002,ANA_1011B389-020,ANA_1011B041-002
ANA_1011B004-007,Male,Standard,,ANA_1011B004-029,ANA_1011B006-020,ANA_1011B005-001
ANA_1012A571-400,Female,Wide,,ANA_1012A570-001,ANA_1012A571-400,
ANA_1012A911-027,Female,Standard,,ANA_1012A911-027,ANA_1012A910-022,
ANA_1011A767-402,Male,Standard,,ANA_1011A767-402,ANA_1011A835-001,ANA_1011A833-001
ANA_1012A859-404,Female,Standard,ANA_1012A863-400,ANA_1012A859-404,ANA_1012A861-404,
ANA_1012B046-402,Female,Wide,ANA_1012B048-003,ANA_1012B047-402,ANA_1012B046-402,
ANA_1011B359-020,Male,Standard,,ANA_1011B359-020,ANA_1011B361-020,ANA_1011B363-002
ANA_1011B004-407,Male,Standard,,ANA_1011B004-407,ANA_1011B006-020,ANA_1011B005-001
ANA_1011A560-023,Male,Standard,,ANA_1011A560-023,,ANA_1011A561-023
ANA_1012B199-300,Female,Wide,,ANA_1012B201-300,ANA_1012B199-300,
ANA_1012A910-022,Female,Wide,,ANA_1012A911-022,ANA_1012A910-022,
